question,answer,answer_gemma2b_hybrid
"The Symphony No. 4 in A major, Op. 90, commonly known as the Italian, is an orchestral symphony written by German composer Felix Mendelssohn, pianist, organist and conductor of the early Romantic period, was also know by which name?",Jakob Ludwig Felix Mendelssohn Bartholdy,The context does not provide sufficient information to answer the question.
"What woman, best remembered as the mistress of Lord Nelson and as the muse of George Romney, was the movie That Hamilton Woman, based on?","Emma, Lady Hamilton",The context does not provide sufficient information to answer the question.
Mollo is a French footballer who plays for a football club founded in what year?,1879,The context does not provide sufficient information to answer the question.
" Alphonse ""Buddy"" Fletcher Jr. has been involved in litigation centered on a dispute with the board of an apartment building built in what year?",1884,The context does not provide sufficient information to answer the question.
"Craig ""Chief"" Berube (born December 17, 1965) is a Canadian former professional ice hockey player and the former head coach of the Chicago Wolves, a professional ice hockey team playing in the Central Division of the Western Conference, of which organization?",American Hockey League,The context does not provide sufficient information to answer the question.
Have both Benjamin Spock and Yaşar Kemal been nominated for the Nobel Prize in Literature? ,no,The context does not provide sufficient information to answer the question.
"What play provided the source material for a film starring an American actress from Brookhaven, Mississippi?","""The Green Goddess""",The context does not provide sufficient information to answer the question.
"The Women Airforce Service Pilots Badge is an award of the United States Army that was issued during which time period, the first wings were privately and hastily designed and paid for out of the pockets of American Floyd Odlum and his wife, Jacqueline Cochran, who in 1942 became the head of WASP?",Second World War,The context does not provide sufficient information to answer the question.
Are both Skye Sweetnam and Spin Doctors considered American musicians?,no,The context does not provide sufficient information to answer the question.
"Which English footballer, having played for St. Mary's Y.M.A., was born in Portsmouth?",Albert Arthur Fry,The context does not provide sufficient information to answer the question.
What language family does Red Horn and Ho-Chunk have in common?,Siouan,The context does not provide sufficient information to answer the question.
